--------- beginning of main
09-16 23:51:35.249  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.249  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.249  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.249  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:35.249  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:35.249  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:35.249  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:35.249  6477  6505 E Unity   : GemRush.GameManager:PlayLevel(Int32)
09-16 23:51:35.249  6477  6505 E Unity   : UnityEngine.Events.UnityEvent:Invoke()
09-16 23:51:35.249  6477  6505 E Unity   : UnityEngine.EventSystems.ExecuteEvents:Execute(GameObject, BaseEventData, EventFunction`1)
09-16 23:51:35.249  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchPress(PointerEventData, Boolean, Boolean)
09-16 23:51:35.249  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchEvents()
09-16 23:51:35.249  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:Process()
09-16 23:51:35.249  6477  6505 E Unity   : 
09-16 23:51:35.249  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817592]
09-16 23:51:35.249  6477  6505 E Unity   : 
09-16 23:51:35.250  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.250  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.250  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.250  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:35.250  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:35.250  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:35.250  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:35.250  6477  6505 E Unity   : GemRush.GameManager:PlayLevel(Int32)
09-16 23:51:35.250  6477  6505 E Unity   : UnityEngine.Events.UnityEvent:Invoke()
09-16 23:51:35.250  6477  6505 E Unity   : UnityEngine.EventSystems.ExecuteEvents:Execute(GameObject, BaseEventData, EventFunction`1)
09-16 23:51:35.250  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchPress(PointerEventData, Boolean, Boolean)
09-16 23:51:35.250  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchEvents()
09-16 23:51:35.250  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:Process()
09-16 23:51:35.250  6477  6505 E Unity   : 
09-16 23:51:35.250  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817592]
09-16 23:51:35.250  6477  6505 E Unity   : 
09-16 23:51:35.251  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.251  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.251  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.251  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:35.251  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:35.251  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:35.251  6477  6505 E Unity   : GemRush.GameManager:PlayLevel(Int32)
09-16 23:51:35.251  6477  6505 E Unity   : UnityEngine.Events.UnityEvent:Invoke()
09-16 23:51:35.251  6477  6505 E Unity   : UnityEngine.EventSystems.ExecuteEvents:Execute(GameObject, BaseEventData, EventFunction`1)
09-16 23:51:35.251  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchPress(PointerEventData, Boolean, Boolean)
09-16 23:51:35.251  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchEvents()
09-16 23:51:35.251  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:Process()
09-16 23:51:35.251  6477  6505 E Unity   : 
09-16 23:51:35.251  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817656]
09-16 23:51:35.251  6477  6505 E Unity   : 
09-16 23:51:35.252  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.GameManager:PlayLevel(Int32)
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.Events.UnityEvent:Invoke()
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.ExecuteEvents:Execute(GameObject, BaseEventData, EventFunction`1)
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchPress(PointerEventData, Boolean, Boolean)
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchEvents()
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:Process()
09-16 23:51:35.252  6477  6505 E Unity   : 
09-16 23:51:35.252  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817656]
09-16 23:51:35.252  6477  6505 E Unity   : 
09-16 23:51:35.252  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.Props:Tree(Random, Transform, Single, Vector3, Material, Material)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:35.252  6477  6505 E Unity   : GemRush.GameManager:PlayLevel(Int32)
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.Events.UnityEvent:Invoke()
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.ExecuteEvents:Execute(GameObject, BaseEventData, EventFunction`1)
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchPress(PointerEventData, Boolean, Boolean)
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchEvents()
09-16 23:51:35.252  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:Process()
09-16 23:51:35.252  6477  6505 E Unity   : 
09-16 23:51:35.252  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817656]
09-16 23:51:35.252  6477  6505 E Unity   : 
09-16 23:51:35.253  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.253  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.253  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.253  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:35.253  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:35.253  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
